2024-06-30 13:35:22,178	tibetan_base	INFO	[2.3622031211853027, 2.560310125350952, 8.037382125854492, 17.503314971923828, 1.1005347967147827, 1.344597339630127, 118900, 0.00016487379381057476]
2024-06-30 13:36:38,737	tibetan_base	INFO	====> Epoch: 1545
2024-06-30 13:37:34,471	tibetan_base	INFO	Train Epoch: 1546 [45%]
2024-06-30 13:37:34,474	tibetan_base	INFO	[2.3322219848632812, 2.4762346744537354, 7.623912334442139, 17.670692443847656, 1.0721445083618164, 1.3341753482818604, 119000, 0.00016485318458634842]
2024-06-30 13:37:51,283	tibetan_base	INFO	Saving model and optimizer state at iteration 1546 to ./logs/tibetan_base/G_119000.pth
2024-06-30 13:37:52,326	tibetan_base	INFO	Saving model and optimizer state at iteration 1546 to ./logs/tibetan_base/D_119000.pth
2024-06-30 13:38:42,688	tibetan_base	INFO	====> Epoch: 1546
2024-06-30 13:40:07,053	tibetan_base	INFO	Train Epoch: 1547 [75%]
2024-06-30 13:40:07,057	tibetan_base	INFO	[2.4327354431152344, 2.221930503845215, 7.152726173400879, 17.38941192626953, 1.1557790040969849, 1.3705177307128906, 119100, 0.00016483257793827513]
2024-06-30 13:40:29,734	tibetan_base	INFO	====> Epoch: 1547
2024-06-30 13:42:16,144	tibetan_base	INFO	====> Epoch: 1548
2024-06-30 13:42:36,498	tibetan_base	INFO	Train Epoch: 1549 [5%]
2024-06-30 13:42:36,501	tibetan_base	INFO	[2.3915185928344727, 2.396411895751953, 7.683318614959717, 18.183759689331055, 1.1222877502441406, 1.4295785427093506, 119200, 0.00016479137236929955]
2024-06-30 13:44:03,437	tibetan_base	INFO	====> Epoch: 1549
2024-06-30 13:44:50,462	tibetan_base	INFO	Train Epoch: 1550 [35%]
2024-06-30 13:44:50,465	tibetan_base	INFO	[2.3720815181732178, 2.3788814544677734, 8.208213806152344, 17.936115264892578, 1.1439154148101807, 1.2347277402877808, 119300, 0.0001647707734477534]
2024-06-30 13:45:50,394	tibetan_base	INFO	====> Epoch: 1550
2024-06-30 13:47:04,875	tibetan_base	INFO	Train Epoch: 1551 [65%]
2024-06-30 13:47:04,879	tibetan_base	INFO	[2.3689723014831543, 2.354457378387451, 7.746130466461182, 17.628015518188477, 1.1333566904067993, 1.30243718624115, 119400, 0.0001647501771010724]
2024-06-30 13:47:36,739	tibetan_base	INFO	====> Epoch: 1551
2024-06-30 13:49:19,234	tibetan_base	INFO	Train Epoch: 1552 [95%]
2024-06-30 13:49:19,237	tibetan_base	INFO	[2.4551644325256348, 2.394195079803467, 7.930275917053223, 17.777145385742188, 1.1355831623077393, 1.2815114259719849, 119500, 0.00016472958332893476]
2024-06-30 13:49:23,895	tibetan_base	INFO	====> Epoch: 1552
2024-06-30 13:51:10,123	tibetan_base	INFO	====> Epoch: 1553
2024-06-30 13:51:48,204	tibetan_base	INFO	Train Epoch: 1554 [25%]
2024-06-30 13:51:48,207	tibetan_base	INFO	[2.2070131301879883, 2.800307035446167, 7.722072124481201, 17.270994186401367, 0.9005944728851318, 1.1206787824630737, 119600, 0.00016468840350700225]
2024-06-30 13:52:57,280	tibetan_base	INFO	====> Epoch: 1554
2024-06-30 13:54:02,461	tibetan_base	INFO	Train Epoch: 1555 [55%]
2024-06-30 13:54:02,464	tibetan_base	INFO	[2.232219696044922, 2.6798176765441895, 8.610751152038574, 18.153757095336914, 1.0694923400878906, 1.2736096382141113, 119700, 0.00016466781745656385]
2024-06-30 13:54:44,434	tibetan_base	INFO	====> Epoch: 1555
2024-06-30 13:56:18,271	tibetan_base	INFO	Train Epoch: 1556 [84%]
2024-06-30 13:56:18,275	tibetan_base	INFO	[2.308847188949585, 2.6409997940063477, 8.338275909423828, 17.862483978271484, 1.1332051753997803, 1.3155291080474854, 119800, 0.00016464723397938177]
2024-06-30 13:56:32,587	tibetan_base	INFO	====> Epoch: 1556
2024-06-30 13:58:18,286	tibetan_base	INFO	====> Epoch: 1557
2024-06-30 13:58:46,564	tibetan_base	INFO	Train Epoch: 1558 [14%]
2024-06-30 13:58:46,567	tibetan_base	INFO	[2.3631041049957275, 2.590553045272827, 7.871493339538574, 17.859100341796875, 1.1064505577087402, 1.3534681797027588, 119900, 0.00016460607474349994]
2024-06-30 14:00:04,942	tibetan_base	INFO	====> Epoch: 1558
2024-06-30 14:01:01,053	tibetan_base	INFO	Train Epoch: 1559 [44%]
2024-06-30 14:01:01,056	tibetan_base	INFO	[2.3362877368927, 2.4719998836517334, 8.035077095031738, 17.569334030151367, 1.151519775390625, 1.3262954950332642, 120000, 0.000164585498984157]
2024-06-30 14:01:18,492	tibetan_base	INFO	Saving model and optimizer state at iteration 1559 to ./logs/tibetan_base/G_120000.pth
2024-06-30 14:01:19,401	tibetan_base	INFO	Saving model and optimizer state at iteration 1559 to ./logs/tibetan_base/D_120000.pth
2024-06-30 14:02:12,097	tibetan_base	INFO	====> Epoch: 1559
2024-06-30 14:03:36,397	tibetan_base	INFO	Train Epoch: 1560 [74%]
2024-06-30 14:03:36,400	tibetan_base	INFO	[2.3226516246795654, 2.582690477371216, 8.230863571166992, 18.016843795776367, 1.1058306694030762, 1.3013043403625488, 120100, 0.00016456492579678398]
2024-06-30 14:04:02,485	tibetan_base	INFO	====> Epoch: 1560
2024-06-30 14:05:48,834	tibetan_base	INFO	====> Epoch: 1561
2024-06-30 14:06:08,076	tibetan_base	INFO	Train Epoch: 1562 [4%]
2024-06-30 14:06:08,080	tibetan_base	INFO	[2.5406761169433594, 2.2175984382629395, 7.2746262550354, 17.887630462646484, 1.1042091846466064, 1.6563737392425537, 120200, 0.00016452378713666173]
2024-06-30 14:07:35,901	tibetan_base	INFO	====> Epoch: 1562
2024-06-30 14:08:22,613	tibetan_base	INFO	Train Epoch: 1563 [34%]
2024-06-30 14:08:22,617	tibetan_base	INFO	[2.537170171737671, 2.2487480640411377, 7.247458457946777, 17.431310653686523, 1.1503093242645264, 1.677035927772522, 120300, 0.00016450322166326964]
2024-06-30 14:09:22,807	tibetan_base	INFO	====> Epoch: 1563
2024-06-30 14:10:36,363	tibetan_base	INFO	Train Epoch: 1564 [64%]
2024-06-30 14:10:36,366	tibetan_base	INFO	[2.4393444061279297, 2.6520872116088867, 8.001580238342285, 18.059389114379883, 1.1496942043304443, 1.3895496129989624, 120400, 0.00016448265876056173]
2024-06-30 14:11:09,801	tibetan_base	INFO	====> Epoch: 1564
2024-06-30 14:12:49,770	tibetan_base	INFO	Train Epoch: 1565 [94%]
2024-06-30 14:12:49,774	tibetan_base	INFO	[2.2633485794067383, 2.671156167984009, 8.225752830505371, 17.713685989379883, 1.1076619625091553, 1.3545893430709839, 120500, 0.00016446209842821665]
2024-06-30 14:12:55,849	tibetan_base	INFO	====> Epoch: 1565
2024-06-30 14:14:41,020	tibetan_base	INFO	====> Epoch: 1566
2024-06-30 14:15:18,206	tibetan_base	INFO	Train Epoch: 1567 [23%]
2024-06-30 14:15:18,210	tibetan_base	INFO	[2.376136064529419, 2.441913366317749, 7.6826372146606445, 17.583904266357422, 1.1556062698364258, 1.3463491201400757, 120600, 0.00016442098547332987]
2024-06-30 14:16:27,824	tibetan_base	INFO	====> Epoch: 1567
2024-06-30 14:17:34,051	tibetan_base	INFO	Train Epoch: 1568 [53%]
2024-06-30 14:17:34,054	tibetan_base	INFO	[2.381814479827881, 2.6082372665405273, 8.330981254577637, 18.294288635253906, 1.1175731420516968, 1.2543764114379883, 120700, 0.00016440043285014568]
2024-06-30 14:18:16,628	tibetan_base	INFO	====> Epoch: 1568
2024-06-30 14:19:47,928	tibetan_base	INFO	Train Epoch: 1569 [83%]
2024-06-30 14:19:47,931	tibetan_base	INFO	[2.387223720550537, 2.4993951320648193, 7.994571685791016, 17.731422424316406, 1.115415334701538, 1.3938968181610107, 120800, 0.0001643798827960394]
2024-06-30 14:20:02,969	tibetan_base	INFO	====> Epoch: 1569
2024-06-30 14:21:49,107	tibetan_base	INFO	====> Epoch: 1570
2024-06-30 14:22:15,891	tibetan_base	INFO	Train Epoch: 1571 [13%]
2024-06-30 14:22:15,895	tibetan_base	INFO	[2.397080898284912, 2.5342040061950684, 7.747588157653809, 17.97874641418457, 1.1371468305587769, 1.4952366352081299, 120900, 0.00016433879039377605]
2024-06-30 14:23:35,822	tibetan_base	INFO	====> Epoch: 1571
2024-06-30 14:24:31,182	tibetan_base	INFO	Train Epoch: 1572 [43%]
2024-06-30 14:24:31,187	tibetan_base	INFO	[2.4718985557556152, 2.3316850662231445, 7.924374103546143, 17.81984519958496, 1.1478793621063232, 1.4182597398757935, 121000, 0.00016431824804497683]
2024-06-30 14:24:48,252	tibetan_base	INFO	Saving model and optimizer state at iteration 1572 to ./logs/tibetan_base/G_121000.pth
2024-06-30 14:24:49,120	tibetan_base	INFO	Saving model and optimizer state at iteration 1572 to ./logs/tibetan_base/D_121000.pth
2024-06-30 14:25:40,953	tibetan_base	INFO	====> Epoch: 1572
2024-06-30 14:27:03,209	tibetan_base	INFO	Train Epoch: 1573 [73%]
2024-06-30 14:27:03,212	tibetan_base	INFO	[2.3453385829925537, 2.516187906265259, 8.337018966674805, 18.40591049194336, 1.098151683807373, 1.0406650304794312, 121100, 0.0001642977082639712]
2024-06-30 14:27:27,710	tibetan_base	INFO	====> Epoch: 1573
2024-06-30 14:29:13,389	tibetan_base	INFO	====> Epoch: 1574
2024-06-30 14:29:31,001	tibetan_base	INFO	Train Epoch: 1575 [3%]
2024-06-30 14:29:31,004	tibetan_base	INFO	[2.278419256210327, 2.5086252689361572, 8.269327163696289, 17.290843963623047, 1.114457368850708, 1.1903235912322998, 121200, 0.0001642566364040569]
2024-06-30 14:31:00,247	tibetan_base	INFO	====> Epoch: 1575
2024-06-30 14:31:44,836	tibetan_base	INFO	Train Epoch: 1576 [32%]
2024-06-30 14:31:44,840	tibetan_base	INFO	[2.448601245880127, 2.393197536468506, 7.585095405578613, 18.158504486083984, 1.144103765487671, 1.4551258087158203, 121300, 0.00016423610432450637]
2024-06-30 14:32:47,223	tibetan_base	INFO	====> Epoch: 1576
2024-06-30 14:33:59,998	tibetan_base	INFO	Train Epoch: 1577 [62%]
2024-06-30 14:34:00,002	tibetan_base	INFO	[2.3594465255737305, 2.3748486042022705, 7.853111267089844, 17.748374938964844, 1.1029446125030518, 1.2503457069396973, 121400, 0.00016421557481146579]
2024-06-30 14:34:34,887	tibetan_base	INFO	====> Epoch: 1577
2024-06-30 14:36:14,861	tibetan_base	INFO	Train Epoch: 1578 [92%]
2024-06-30 14:36:14,865	tibetan_base	INFO	[2.3991003036499023, 2.284229278564453, 7.619728088378906, 17.339508056640625, 1.1514918804168701, 1.0953013896942139, 121500, 0.00016419504786461435]
2024-06-30 14:36:22,111	tibetan_base	INFO	====> Epoch: 1578
2024-06-30 14:38:08,490	tibetan_base	INFO	====> Epoch: 1579
2024-06-30 14:38:43,603	tibetan_base	INFO	Train Epoch: 1580 [22%]
2024-06-30 14:38:43,609	tibetan_base	INFO	[2.4155611991882324, 2.3930273056030273, 7.695877552032471, 17.664825439453125, 1.0901373624801636, 1.5127452611923218, 121600, 0.0001641540016681958]
2024-06-30 14:39:55,328	tibetan_base	INFO	====> Epoch: 1580
2024-06-30 14:40:58,696	tibetan_base	INFO	Train Epoch: 1581 [52%]
2024-06-30 14:40:58,700	tibetan_base	INFO	[2.510776996612549, 2.3469526767730713, 7.781679153442383, 17.866138458251953, 1.1110807657241821, 1.5393857955932617, 121700, 0.00016413348241798727]
2024-06-30 14:41:42,449	tibetan_base	INFO	====> Epoch: 1581
2024-06-30 14:43:13,162	tibetan_base	INFO	Train Epoch: 1582 [82%]
2024-06-30 14:43:13,166	tibetan_base	INFO	[2.478583335876465, 2.4463720321655273, 7.306800842285156, 17.747770309448242, 1.1690490245819092, 1.6385694742202759, 121800, 0.00016411296573268501]
2024-06-30 14:43:29,580	tibetan_base	INFO	====> Epoch: 1582
2024-06-30 14:45:16,115	tibetan_base	INFO	====> Epoch: 1583
2024-06-30 14:45:42,456	tibetan_base	INFO	Train Epoch: 1584 [12%]
2024-06-30 14:45:42,460	tibetan_base	INFO	[2.248422622680664, 2.5084424018859863, 8.387969017028809, 18.083749771118164, 1.0703240633010864, 1.361565351486206, 121900, 0.00016407194005551692]
2024-06-30 14:47:02,993	tibetan_base	INFO	====> Epoch: 1584
2024-06-30 14:47:55,901	tibetan_base	INFO	Train Epoch: 1585 [42%]
2024-06-30 14:47:55,904	tibetan_base	INFO	[2.3199350833892822, 2.6118175983428955, 7.766478538513184, 17.499738693237305, 1.1134027242660522, 1.1331603527069092, 122000, 0.00016405143106300996]
2024-06-30 14:48:12,399	tibetan_base	INFO	Saving model and optimizer state at iteration 1585 to ./logs/tibetan_base/G_122000.pth
2024-06-30 14:48:13,438	tibetan_base	INFO	Saving model and optimizer state at iteration 1585 to ./logs/tibetan_base/D_122000.pth
2024-06-30 14:49:07,374	tibetan_base	INFO	====> Epoch: 1585
2024-06-30 14:50:27,536	tibetan_base	INFO	Train Epoch: 1586 [71%]
2024-06-30 14:50:27,540	tibetan_base	INFO	[2.43179988861084, 2.2772316932678223, 7.20217752456665, 17.500816345214844, 1.1796329021453857, 1.5516606569290161, 122100, 0.00016403092463412706]
2024-06-30 14:50:53,666	tibetan_base	INFO	====> Epoch: 1586
2024-06-30 14:52:40,536	tibetan_base	INFO	====> Epoch: 1587
2024-06-30 14:52:56,374	tibetan_base	INFO	Train Epoch: 1588 [1%]
2024-06-30 14:52:56,377	tibetan_base	INFO	[2.2508368492126465, 2.5678353309631348, 8.314799308776855, 17.686370849609375, 1.0807201862335205, 1.2613633871078491, 122200, 0.00016398991946595172]
2024-06-30 14:54:26,556	tibetan_base	INFO	====> Epoch: 1588
2024-06-30 14:55:10,738	tibetan_base	INFO	Train Epoch: 1589 [31%]
2024-06-30 14:55:10,742	tibetan_base	INFO	[2.3496456146240234, 2.6299808025360107, 7.533577919006348, 17.193937301635742, 1.0418615341186523, 1.1626964807510376, 122300, 0.00016396942072601848]
2024-06-30 14:56:14,140	tibetan_base	INFO	====> Epoch: 1589
2024-06-30 14:57:26,450	tibetan_base	INFO	Train Epoch: 1590 [61%]
2024-06-30 14:57:26,453	tibetan_base	INFO	[2.349355697631836, 2.38240647315979, 7.623134613037109, 17.64380645751953, 1.1112806797027588, 1.1322073936462402, 122400, 0.00016394892454842772]
2024-06-30 14:58:01,988	tibetan_base	INFO	====> Epoch: 1590
2024-06-30 14:59:41,158	tibetan_base	INFO	Train Epoch: 1591 [91%]
2024-06-30 14:59:41,162	tibetan_base	INFO	[2.363264560699463, 2.6249120235443115, 7.917552947998047, 17.428768157958984, 1.1276273727416992, 1.0933994054794312, 122500, 0.00016392843093285917]
2024-06-30 14:59:49,128	tibetan_base	INFO	====> Epoch: 1591
2024-06-30 15:01:35,710	tibetan_base	INFO	====> Epoch: 1592
2024-06-30 15:02:09,779	tibetan_base	INFO	Train Epoch: 1593 [21%]
2024-06-30 15:02:09,783	tibetan_base	INFO	[2.45633602142334, 2.205003499984741, 7.16016960144043, 17.626510620117188, 1.1295008659362793, 1.5928332805633545, 122600, 0.0001638874513865077]
2024-06-30 15:03:24,241	tibetan_base	INFO	====> Epoch: 1593
2024-06-30 15:04:26,280	tibetan_base	INFO	Train Epoch: 1594 [51%]
2024-06-30 15:04:26,284	tibetan_base	INFO	[2.4732894897460938, 2.2056427001953125, 7.958812713623047, 17.936948776245117, 1.1479392051696777, 1.3350087404251099, 122700, 0.00016386696545508437]
2024-06-30 15:05:11,490	tibetan_base	INFO	====> Epoch: 1594
2024-06-30 15:06:40,251	tibetan_base	INFO	Train Epoch: 1595 [81%]
2024-06-30 15:06:40,254	tibetan_base	INFO	[2.2157278060913086, 2.7929751873016357, 8.126289367675781, 17.655569076538086, 1.083807110786438, 1.223717212677002, 122800, 0.00016384648208440247]
2024-06-30 15:06:58,067	tibetan_base	INFO	====> Epoch: 1595
2024-06-30 15:08:45,499	tibetan_base	INFO	====> Epoch: 1596
2024-06-30 15:09:10,257	tibetan_base	INFO	Train Epoch: 1597 [10%]
2024-06-30 15:09:10,261	tibetan_base	INFO	[2.350127935409546, 2.531795024871826, 7.404594421386719, 17.6591739654541, 1.0884945392608643, 1.159386157989502, 122900, 0.00016380552302398265]
2024-06-30 15:10:32,437	tibetan_base	INFO	====> Epoch: 1597
2024-06-30 15:11:24,796	tibetan_base	INFO	Train Epoch: 1598 [40%]
2024-06-30 15:11:24,801	tibetan_base	INFO	[2.366039991378784, 2.5044960975646973, 7.986400604248047, 17.78159523010254, 1.0977760553359985, 1.261138916015625, 123000, 0.00016378504733360465]
2024-06-30 15:11:42,373	tibetan_base	INFO	Saving model and optimizer state at iteration 1598 to ./logs/tibetan_base/G_123000.pth
2024-06-30 15:11:43,256	tibetan_base	INFO	Saving model and optimizer state at iteration 1598 to ./logs/tibetan_base/D_123000.pth
2024-06-30 15:12:40,224	tibetan_base	INFO	====> Epoch: 1598
2024-06-30 15:14:01,158	tibetan_base	INFO	Train Epoch: 1599 [70%]
2024-06-30 15:14:01,162	tibetan_base	INFO	[2.2081398963928223, 2.5759689807891846, 8.568236351013184, 17.900938034057617, 1.1194384098052979, 1.247645378112793, 123100, 0.00016376457420268795]
2024-06-30 15:14:29,317	tibetan_base	INFO	====> Epoch: 1599
2024-06-30 15:16:15,823	tibetan_base	INFO	====> Epoch: 1600
2024-06-30 15:16:31,523	tibetan_base	INFO	Train Epoch: 1601 [0%]
2024-06-30 15:16:31,527	tibetan_base	INFO	[2.4421205520629883, 2.463888168334961, 7.686347007751465, 17.827836990356445, 1.1040643453598022, 1.6137803792953491, 123200, 0.00016372363561795872]
2024-06-30 15:18:03,141	tibetan_base	INFO	====> Epoch: 1601
2024-06-30 15:18:46,259	tibetan_base	INFO	Train Epoch: 1602 [30%]
2024-06-30 15:18:46,263	tibetan_base	INFO	[2.315883159637451, 2.575157403945923, 7.755001068115234, 17.554872512817383, 1.1093552112579346, 1.193657636642456, 123300, 0.00016370317016350646]
2024-06-30 15:19:50,693	tibetan_base	INFO	====> Epoch: 1602
2024-06-30 15:21:01,317	tibetan_base	INFO	Train Epoch: 1603 [60%]
2024-06-30 15:21:01,320	tibetan_base	INFO	[2.497476577758789, 2.25413179397583, 7.42085599899292, 17.651105880737305, 1.1086599826812744, 1.4241008758544922, 123400, 0.000163682707267236]
2024-06-30 15:21:38,431	tibetan_base	INFO	====> Epoch: 1603
2024-06-30 15:23:17,506	tibetan_base	INFO	Train Epoch: 1604 [90%]
2024-06-30 15:23:17,512	tibetan_base	INFO	[2.2728404998779297, 2.560460329055786, 8.273365020751953, 17.392471313476562, 1.1233216524124146, 1.236717939376831, 123500, 0.00016366224692882758]
2024-06-30 15:23:28,273	tibetan_base	INFO	====> Epoch: 1604
2024-06-30 15:25:16,067	tibetan_base	INFO	====> Epoch: 1605
2024-06-30 15:25:49,858	tibetan_base	INFO	Train Epoch: 1606 [19%]
2024-06-30 15:25:49,862	tibetan_base	INFO	[2.491623640060425, 2.2589783668518066, 7.026473045349121, 17.232934951782227, 1.1889266967773438, 1.5520943403244019, 123600, 0.000163621333924318]
2024-06-30 15:27:03,295	tibetan_base	INFO	====> Epoch: 1606
2024-06-30 15:28:04,591	tibetan_base	INFO	Train Epoch: 1607 [49%]
2024-06-30 15:28:04,594	tibetan_base	INFO	[2.546865940093994, 2.333939552307129, 6.975869178771973, 17.55109405517578, 1.1631224155426025, 1.5667177438735962, 123700, 0.00016360088125757746]
2024-06-30 15:28:51,105	tibetan_base	INFO	====> Epoch: 1607
2024-06-30 15:30:20,783	tibetan_base	INFO	Train Epoch: 1608 [79%]
2024-06-30 15:30:20,787	tibetan_base	INFO	[2.298980236053467, 2.6289684772491455, 7.738659858703613, 17.460325241088867, 1.1208416223526, 1.2498000860214233, 123800, 0.00016358043114742026]
2024-06-30 15:30:39,842	tibetan_base	INFO	====> Epoch: 1608
2024-06-30 15:32:28,123	tibetan_base	INFO	====> Epoch: 1609
2024-06-30 15:32:51,824	tibetan_base	INFO	Train Epoch: 1610 [9%]
2024-06-30 15:32:51,827	tibetan_base	INFO	[2.3131155967712402, 2.5560803413391113, 8.117755889892578, 17.719789505004883, 1.0632795095443726, 1.3749605417251587, 123900, 0.00016353953859557762]
2024-06-30 15:34:16,121	tibetan_base	INFO	====> Epoch: 1610
2024-06-30 15:35:08,317	tibetan_base	INFO	Train Epoch: 1611 [39%]
2024-06-30 15:35:08,322	tibetan_base	INFO	[2.5889430046081543, 2.1752524375915527, 6.953988075256348, 17.60430145263672, 1.1714195013046265, 1.6477431058883667, 124000, 0.00016351909615325316]
2024-06-30 15:35:26,496	tibetan_base	INFO	Saving model and optimizer state at iteration 1611 to ./logs/tibetan_base/G_124000.pth
2024-06-30 15:35:27,448	tibetan_base	INFO	Saving model and optimizer state at iteration 1611 to ./logs/tibetan_base/D_124000.pth
2024-06-30 15:36:24,607	tibetan_base	INFO	====> Epoch: 1611
2024-06-30 15:37:44,240	tibetan_base	INFO	Train Epoch: 1612 [69%]
